name,city,state,description,type
Report 8905: Three men have a late night encounter with a bi-pedal figure,location ny interstate 390 north too the ny state pkwy going west at or over iland cottage rd there is a little pond in the middle of entrance and exit from 390 to pkwy and iland cottage rd is on the norteast side,NY,well here is my sighting. on june 20th 2004  [near] rochester [and] greece  me and 2 friends where out on a bike ride like we do three times a week. we start at 104 and fetzner rd in rochester new york and travel down the bike trail too the [parkway] and iland cottage rd. we always stop at the pond and [our] bike rides are well into the night around 12 - 1 am. we hang out for a while then head back home. what would make it a 15 - 20 mile bike ride. while standing talking we all noticed something standing behind tree. it was about 7 - 8 feet tall tan in color or gray fur. it stood out in the black background. one of my friends start[ed] heading towards it and so did the other and then me with my headlight. when the first friend moved the thing started off too the woods on 2 feet. my one friend said he seen it turn around and look at him. i just seen it go into woods. when we got too the woods which woul be heading west next too parkway  one went in a little. me and other stayed on edge. we stood still and heard alot branches and then silence. don’t know if it was related too [our] sighting but seemd like the only sorce at the time because [of] what was seen. it was pretty chilling and strange. felt very weird like it wasn’t happening.,Bigfoot
Report 1851: Two men see see a hairy creature running into woods,just off us state route 30 south out of E. Canton.,OH,"Yesterday up the road from my house a friend and I actually saw a bigfoot in the daylight about 6 pm.  As i stated on the 99 incident at my home this must be a route they use after what we saw yesterday.  We are going to go look for prints today. We we driving down the street and at the top of the hill I saw something dart past a telephone pole on my right.  It was very fast and my first reaction was that its a jogger dressed in black  just like in 1973 and I said nothing but as we got to the intersection my friend says ""where'd he go"" and I said "" did you see something dart up in the woods?""  He said yes.  We turned around right then and there and went to look in the woods.  There was nothing there.  Nothing moves at that speed.  By the way we live just west of Alliance Ohio where there have been sightings.  Maybe this is a route they use?? Thing was all black and had a long torso with very tall long arms that were swinging in a forward motion when it was running.",Bigfoot
Report 28820: Man recounts sighting from his teens near Edinburg,greenleaf rd at rt 5 across railroad tracks into woods pond at horse area,OH,winter 1994 jay lake area west branch state park a friend and i were fishing a pond. the pond was mostly frozen over except for a spot in the middle which we were casting bait into. i dont know how long we were fishing but across the pond a figure stood up from the shoreline area and walked up a steep hill when it got to the top it turned back to look at us  the figure was large covered with hair and walked on two legs  it was winter the pond was frozen and the figure wore no clothes so theres noway it was a human we were arround 15 yrs old so we took off since we were scarred by this encouter. we viewd the figure for maybe 1 or 2 minutes,Bigfoot
Report 4556: Midnight sighting by motorist on Coy Rd,This happened on Coy rd. in Defiance Co. about two miles south of Ney  Ohio,OH,While traveling at 55-60 mph  I saw what appeared to be a tall being covered with brown hair. It was standing in a ditch beside a cement bridge that was about two to three feet above the road. The being's head was about another two to three feet above that. I estimated that the being would have stood eight to nine foot tall.,Bigfoot
Report 4975: Sighting at Camp Oyo Boy Scout Camp on Rt. 125,Camp Oyo Boy Scout Camp on Rt. 125,OH,While taking a break during a hike back from the Lou Wetzel cabin  we were sitting at a picnic area just below the Clark cabin when we seen a creature walking upright on it's hind legs with long brown hair and piercing green eyes. We was only able to see from the waist up due to the brush.,Bigfoot
Report 26149: Fishermen experience possible early morning vocalizations and rock throwing at East Fork Lake,we were fishing on a sandy clearing just to the right of the floating dock at the Northshore boatramp EastFork Lake State Park,OH,while fishing early in the morning at Eastfork Lake near batavia ohio my nephew and I heard first an owl hooting a couple of times and I told Cody that I'd never heard one there before.It was around 3 am After a few more hoots all of a sudden a loud noise came from the woods.A noise that I've only heard in a jungle scene in a movie.The sound was of chimps in trees warning of danger present it was very strange.After about an hour had pasted we heard the owl noise again and then broke out in a loud low scream over and over we heard this scream.then it went into what sounded like dogs barking maybe a few dogs and then the barking went into yelping like they were being hurt.Then it stopped.We didn't hear anything again.Occasionally we'd hear the sound of a large rock being thrown into the water about 100 yards away.We left alittle later after all that went on.,Bigfoot
Report 4081: Early morning sighting of young sasquatch in snow,Ravine at entrance to Hafer Park  at 9th and Bryant.  The ravine runs parallell to Bryant. From I-35  take Edmond Road (2nd St) west to Bryant  then south on Bryant to 9th.  This is the entrance to Hafer Park.,OK,"Winter  1982: On this occasion  there had been a big snowstorm  and nothing was moving on the streets.  There weren't even any tire tracks.  I was about fifteen years old  and worked at a fast-food restaurant about a mile north of this location  and was forced to walk home because my father had called and told me that conditions were so bad he couldn't get the car out of the drive.  The heavy blanket of snow made visibility good  reflecting light as it does.  As I cleared some trees to the east  I observed movement to my left through peripheral vision  and looked to my left into the ravine  and saw a figure apparently playing in the snow. For an instant  I thought that it was a child wearing a dark colored snow suit  but as the moment passed  I became very aware that this was no child.  I had a very clear view of it  and could see that it was black  or very close to black  and covered with long hair or fur from head to toe.  It was probably around five feet tall  and weighed about 160lbs. The creature continued playing in the snow  bending over at the waist  and throwing snow up into the air with both hands in a wide scooping motion  throwing it up so that it came back down on its head.  It also began rolling in the snow. I felt stark terror at the sight of the thing.  I was also very unnerved knowing that I was very far from any residential area  in the early morning  and that there was absolutely no traffic on the road. The creature was only about thirty to thirty-five yards from me  and I had about an eighth of a mile to clear until I was out of sight of the creature.  I thought about running  but I feared that my footfall and rapid motion would catch the thing's attention and that it would then begin chasing me as is instinctive for a lot of animals. The point is  I had quite a bit of time to view this thing  and the longer I looked at it  the more I realized that what I was looking at did not fit any rational explanation.  Once I was out of sight  and I thought I was out of earshot  I ran as fast and as far as I could. This area is now a park  Hafer Park  but at the time  nothing was there but a wooded area and the ravine  which is a drainage ditch.  Even now  with the park  there is still a good deal of wooded area there. David A. Farris  author of ""Mysterious Oklahoma "" says that locals have dubbed this creature the ""skunkape "" reportedly because of its terrible odor.  I did not smell anything in this incident  but I have a very poor sense of smell and serious sinus and allergy problems which are routinely exasperated by the cold weather.",Bigfoot
Report 3240: Father and son observe hand print and footprints near old logging road,Coming south on Highway 259 you travel about 5 miles of the junction of 259 & 4 (which heads back to Smitville proper). On the east side of 259 you will see a low water crossing that crosses Mountain Fork river you follow that logging road 2 miles to the east. At the two mile mark the road Y's back south there is a pond on the south side to mark this spot. You take this logging road about 1/2 to 3/4 of a mile further and you will see the steep bank off the road on your right hand side (west). I will include more precise directions here below: Using the Smithville Quadrangle 7.5 minute topo map the UTM coordinates are as follows: Zone 15 347964E 3806266N This area sits between Hee Mountain which is to the south and Mountain Fork River which is north.,OK,"While my son and I were camping in the Quachita National Forest on Oct 19 2001  in McCurtain County we discovered 4 large foot prints and one large hand print. We were off one of the logging roads that wind through out the forest. I came upon a area that had a very steep cut out along the bank off the road. This cut off had exposed the underlining strata  and I thought it would be a good time to show my son some geology of the area. The exposed strata was layered and I could show my son (18 years old) how the rock and soil was layered by water over thousands of years. We went up to the bank and was starting to show him the layers when suddenly my son said ""Dad look at this print"" it turned out that it was a very large hand print. After further investigation we found 4 large foot prints. The prints were in a single line and you could follow the prints for a space of roughly 15 -20 feet. We did not have a tape measure or ruler to measure accurately so every measurement is a guesstimation. The first print seen is a left foot  then comes right foot about two feet away  then comes left foot about 8 feet further up then about 3-4 foot away and slightly higher up the (what I will call for lack of a better term alluvial fan  because off this bank the soil and rock is washed down into a pattern like that off larger areas such as the sides of mountains  etc.) Following the left hand print comes another left foot print about 3 feet away  however this print only shows the toes and about 1/2 of the foot it appears to have been made while the foot was rotating off the ball and toes  and stopped at what with some caution I will call the arch. (I say that because there does not seem to be much if any arch at least like a normal human foot.) Following this print is another large print however this print seems to be out of place as that it is perpendicular to the others and headed further up the debris pile. After this the tracks stop. There are some others there that I think were at one time prints however they were deteriorated to the point where it would be impossible to ID. The material in this wash is a combination of small chat like material mixed with the native soil (clay based sandy loam). It is not a material that is condusive to holding any print of any kind for very long and they will be gone totally after the first rain. The track these prints and place was not a easy track for it was slightly up the debris pile and a fairly steep angle  my best guess why it would take this track was because the location of this place is in one of the few places in this area which has any open ground (not very large  but larger than the surrounding area) and as stated earlier it was right off one of the logging roads  so I guess he/it was walking along the bank to minimize his silhouette while treking along this open space next to the road. The next morning (Oct 20) we went back out there and we took some small sticks and placed hunters orange tape on the tops of the sticks then placed the sticks in the middle of the tracks so that we could get a visual on its track. We used one piece of tape to mark foot prints and used two pieces of tape to mark the hand print. This was so we could get a easier visual sight of what was going on. We then took the video camera and filmed the tracks and the track markers  so we have all this on video and you are welcome to view this  and in fact I can/will furnish a copy of the tape if interested in it. Just let us know if you wish to see it. ",Bigfoot
Report 65284: Campers awoken by loud knocks around 4am near Talemina Scenic Drive,[camp site near Horsethief Picnic Grounds off Talemina Scenic Drive],OK,Went camping in the Ouachita mountains near Talemina Scenic Drive.  At 3:39 we all woke up due to the sound of something knocking a tree behind us. Was in the distance but close enough to make you on edge. We thought it was a woodpecker and brushed it aside. 10 minutes later we heard the noise on our right side of the tent. The knocking was in triples such as “ knock  knock  knock” then a pause and the 3 knocks again  but in every direction the knocking had a slight variation. The knocking was coming from all sides of our tent  as if there was something surrounding us communicating. Knocks has slight variations in how quick they were  but all of them had the triple knocking. The closest knock was about 50 yard uphill from us. The close one made everything stop in the woods  it was raining and it stopped along with the wind. This is weird  considering it was super windy up there the whole time we stayed  except that one moment. We all agreed to not camp that spot again.,Bigfoot
Report 5817: Woman recalls childhood encounters.,it was about 3 miles east of hwy 84.  not too far from the mountain.  There was creek that ran through the pasture.,OK,"We were walking down the road enjoying our summer vacation.  When one of us noticed that there was something walking in the pasture North of where we were standing.  It was close to 7 feet tall  had long white hair (at least a foot)  was walking on two legs.  It stopped when it noticed us standing there watching it.  Actually we were almost too scared to run.  Anyway it acted like it was going to come our way so we took off for a little ways then stopped to look again.  Everyone knows that a fence with 6 strands of barbed wire is at least 5 feet tall right.  Well  it stepped over that like it wasn't there and kept on going to the East taking long strides and swinging its arms back and forth while it walked.  A few days later we were in the same general area and noticed some long white hair hooked on the top wire of the fence.  We took it home to prove our story we told the day before.  We called it a Honka.  Have to say that we were more careful about how late we stayed out from that day on.  Always made sure we were home before dark.  Until the moment we saw it we had heard lots of stories but never believed them.  Seeing is believing.  If you can talk to anyone in the Dustin area you will be told of several sightings of this nature and also will be told about what everyone called ""The Light""",Bigfoot
Report 26711: Couple witness a possible juvenile running on all fours in Smithville,,OK,We were on our way to a rental cabin (Cloud 9 cabins)  in Smithville Oklahoma on Oct 1  2009 on Beechton Road (dirt road) at about 4:30pm. The weather conditions were overcast  temp around 60  no rain  daylight  we were driving about 30 mph. No cars  houses  people for miles around. As we were heading to the west from Mena  Ak about a 1 ½ miles or so from the turnoff to the cabins  my wife Debbie smelled something sweet but dead smelling at the same time. About a minute after that  we went around a turn in the road  and saw an animal move across the road from the left to the right  into the brush and trees.  This animal moved in a very fluid motion on all fours. It was dark grey or black  short hair  about 36” long and about 24” high. It had no tail  no collar on its neck. The head was completely round about the size of a large grapefruit. There were also no ears or snout visible. It ran by moving its legs back and forth  not together as in how a cat would run fast. We could not identify it. We thought we might have seen a baby Sasquatch  going to its mother in the woods. We felt the mother might have crossed first  before we came to the curve. We do know what it was not. It was not a dog  cat  bear  bobcat  skunk  wolverine  rat  rabbit  skunk  or anything else that we have ever seen  and we do spend a lot of time in the woods  hunting and camping. The total time we saw the animal was about 3 seconds  and we stopped to look were it had entered into the woods  but saw nothing. What was more striking in my mind was  if it were to stand up. It would have looked like a small dark person. (keep in mind we didn’t see the face) We still think to this day that is/was a baby Sasquatch. When we got back home in Missouri  we looked on the internet for baby gorillas  to compare what they looked like to this animal  and there was a close match.,Bigfoot
Report 531: Woman witnesses large  hairy man-like creature outside home,"On US-26 Sunset Hwy and go West for 9.2 miles Bear right on ramp at sign reading ""Exit 64 185th Ave. to Rock Cr."" and go Northwest for 0.3 miles Turn right on NW 185th Ave and go North for 2.7 miles Turn left on NW Germantown Rd and go West for 0.3 miles Turn right on NW Old Cornelius Pass Rd and go North for about 500 feet Turn right on NW Cornelius Pass Rd and go North for 2.2 miles Continue on NW Skyline Blvd and go Northwest for 2.4 miles Turn left on NW Rock Creek Rd and go Northwest for 0.4 miles to Nw Rock Creek Rd",OR,Year: 1994 Season: Fall Weather: Cloudy with drizzle Time: Approx 4:00 PM Location: Rock Creek Rd  Portland  OR Multnomah County X-Street: Old Cornelius Pass (Skyline area) Incident: I was in the kitchen talking on the phone with my sister and looking across the street at the hillside beyond the creek through the kitchen window. The dogs were barking so I was curious to know what was going on outside. I saw the bushes moving and I saw what looked like a very tall   broad  stout  hairy person  almost ape looking  with long dark brown hair. It was rustling through the bushes. The leaves were moving. I looked at it for about two minutes trying to see what it was. Then it disappeared. I was describing what I had just seen to my sister on the phone as it happened. I felt excited and scared. I locked the door and checked for the twelve gage (my husbands gun). I didn't see the Sasquach after that. But once in a while after that  my dogs would bark in that different wimpering way. Not their normal bark. My sister was watching a documentary about Sasquatch in the Portland  OR area on the TLC Channel (The Learning Chanel) that aired on Friday  Oct. 27th 2000. That reminded her of our conversation on the phone when I saw Sasquach that day. She called me to talk about what I had seen because she did some research and found the bfro.net web site and encouraged me to document the sighting.,Bigfoot
Report 11304: Campers hear moaning howl at Waldo Lake at night.,This was one of the regular camping areas on Waldo Lake. I couldn't tell you the exact spot without going back to the area which I would be willing to do.,OR,While we were tent camping at Waldo Lake in the Oregon Cascades  at about 4 am we heard a moaning howl. My wife woke me up and said that there was a bear in the camp. I heard the howl and had no idea what kind of animal made that noise. Another camper a few hundred feet away had dogs that starting going crazy barking. The howling went on for about 20 minutes to a half hour. Our German shepherd started growling. We got up and got in the car with our sleeping bags still thinking it was a bear. At about 5 am and still dark  the other camper left in a hurry in his pickup. It looked like he lit about a half gallon of Coleman fuel in his fire pit. The flames were probably 6 feet tall. We did not see or hear anything else that night. The next day I walked around and looked for signs of the animal. I walked around the other camp and did not see anything. We joked about bigfoot coming that night but I was shocked this last year when I was listening to some of the bigfoot recordings on this site and then heard the moan howl from Columbiana  OH. That was exactly what we heard and it gave me chills.,Bigfoot
Report 1224: Possible movement and footsteps heard by women waiting in stranded vehicle,Take highway 22 west from Salem following signs to Lincoln City  you will end up on highway 18  traveling through the Van Duzen Corridor  take a left onto Slick Rock Creek Road  which becomes Boulder Creek. Travel east on Boulder (becomes logging road  so it goes different directions) continue on the main road for about 2-3 miles and the road splits  take the right split  continue on the main road for another 3-4 miles and the road splits again take the left split  continue on the main road 2-3 miles till comes to another road like a 3-way intersection take the right turn  continue till there is a road on the left (aprox. 1/2 mile) that almost doubles back up the hill  take the first right (aprox. 1/32-1/16 mile)  continue on the main road (this is a narrow road  there is another road that cuts back to the west just after turning on this one  but continue straight on the main road). The sighting occured about 1/2-1/3 miles in.,OR,While sitting in the Blazer (with 3 other females ranging in age from 13-34 all of which were sleeping) that was broken down waiting for help to return I noticed on the east side that there seemed to be something peeking out from a tree aprox. 20' into the woods. I was thinking that it could have been a trick of lighting and the wind moving some branches as the only time I seemed to be seeing movement was when I was looking straight ahead to the north the direction the Blazer was headed and this was out of the corner of my right eye to the east and every time I would move my head to the right it would stop. I played this game for a while  but decided that if I was really seeing something  that I was going to have to turn my head to the right. I dozed off for a while and when I awoke I was still looking off to the right (east) and there was something peeking around a tree that was closer more like 15' or so  so I just kept my eyes on the object and was able to make out!that it was tall  hairy  light coloring in the face except for the eye and mouth area. It didn't move but just like a shifting of feet once in a while. It didn't advance any more  but seemed intent on watching what was going on or in seeing just what it was that it was looking at. I couldn't smell anything as the wind was blowing to the east. I didn't awake anyone because I didn't want to scare them. I didn't feel threatened  but I wasn't going to go and check it out either. At 3:30 help arrived and so I concentrated on what needed to be done to get the broken-down rig off the hill.,Bigfoot
Report 10928: Hikers hear growl  wood  knocking  have rock thrown at them.,McDonald-Dunn State forest  west on 99 north of Corvallis  near Peavy Arboretum.,OR,"While on a hike during this nice sunny day  I heard a low grumbling sound. My husband was leading me along the trail and he did not hear this sound. I stopped him and described the sound to him as a sort of ""wild boar"" type sound. It was VERY hard to describe. The sound was low  deep  like a vibrating growl or snort. We looked around and listened. When we didn't hear anything for quite a few minutes  we began walking again. Not more than 3 or 4 steps down the trail we hear a rustle noise and I quickly turned to see a rock or something rather large  dark and round fall to the ground with a large THUMP! The item had landed just where I was standing only a moment before. My husband heard this large item hit the ground and we stood stunned for a moment trying to figure out where it came from. I looked around the area and found a rock about the size of a baseball sitting where the item had hit the ground. My husband and I could NOT figure out where it had come from. Was a rock in the tree and it just now fell? Did something throw that rock at us? We were a bit jumpy but kept on down the trail. About 1/4 mile along the trail we hear a loud ""whomp  whomp"" like wood against wood sound ahead of us up on the hill. I asked my husband what that was and he decided it was probably just some people doing work on the trail. I didn't believe that's what it was. It sounded too heavy to be man made. Maybe machinery  but there was no motor sound and it was a Sunday evening. I doubt workers were on duty at this time and on this day. Just then we heard the sound move and we turned to hear the same wood on wood ""whomp"" noise behind us on the trail and still above us on the hill. My husband remarked  ""If that was bigfoot I don't know how he moved that quickly!"" I told him that we could rule out trail workers and that it was quite possible that it was TWO bigfoot communicating with each other. We joked about it  but we were both very shaken. We just could not come up with a more reasonable explanation for this sound. My husband describes this sound as a person hitting a tree quite hard with a large log. After yet another few minutes of looking around and hoping to see something  we walked along the trail without answers. After this we heard nothing more and came across several hikers on the last mile of the trail. Several hikers had dogs and we didn't hear any dogs going wild barking at anything unusual. My husband and I were going to stop some hikers to ask if they had heard anything  but we didn't want to look crazy or scare them away from the trail. Other than the rock being thrown at us we didn't feel as though we were in any kind of danger. When I got home I called my father who is quite familiar with forest animals and noises. He couldn't explain where the rock would have come from  but he believes that the wood on wood sound could possibly be deer or elk. I doubt that it was deer or elk just because the trail was so populated. They would have been spooked by the hikers and the dogs... besides  the ""whomp"" sound was SO heavy and SO loud that I can't imagine a deer making such a large sound. We didn't smell anything  we didn't see footprints...but I can't think of anything else that would explain these noises and the rock being thrown at us. I just really feel as though it could have been ""Bigfoot"".",Bigfoot
Report 9289: Elk hunter hears growl  finds footprints  feces.,The tracks were off the Maxwell Butte trail  I had been cutting cross country and would have to draw a map or show someone the exact location; my campsite was just up the road from the blacktop area  second camp site on left - sits across from large reprod.,OR,While I was archery hunting on Aug 31  2004 near Maxwell Butte  I found two tracks that measured 14x5 inches  both tracks had a prominent large toe on the side of the track. The tracks were not together but on the same ridge. I also found a feces pile that was like bear in contents (berry seeds) but much larger and more human-like.  it was like a fifty cent piece in diameter and 12-14 inches long. I had a visitor the next morning at 4 am. I was sitting in my dimly lit tent listening for elk bugling. I woke at 3 am and was wide awake drinking coffee and hoping to get a head start on my hunt by hearing elk. I was surprised by a low growl that sounded like it came from my stomach. I thought it was odd that I didn't feel it  but as soon as that thought crossed my mind a loud scraping sound was followed by a loud thud that came from the thick patch of trees next to my tent  only 2-3 feet away  I heard no other sound after that. I slapped the table top [inside the tent] hoping to hear something leave but whatever stomped the ground didn't make another sound. I put my boots on  grabbed an axe and went outside yelling  hoping to scare off the animal but I never heard another sound. I think a bear would have been more obvious. This animal was able to get next to my tent and leave without me noticing anything except for the growl and the stomp.,Bigfoot
Report 6836: Early afternoon vocalization heard by four people,go north on 208 from 80 pass newmansvill and take a right. next right turn right and drivr into the Allegheny National Forest. first left on paved road  turns to dirt and dirve two miles.,PA,While fore of us were exploring an abandond farm house heard one loud roar that was so loud it echoed. the sound lasted about ten seconds and only happed once. it came from a tree line in a field at least 3oo yards from where we stood. we stoped turned around and got into our car and drove away.,Bigfoot
Report 48575: Fisherman on Lake Arthur startled by series of possible wood knocks and rock clacks,I was actually on my boat on the lake at the time. If needed I can give almost exact locations using Google Earth or another map.,PA,While fishing on Lake Arthur at Moraine State Park I heard wood knocks and rock clacks. It seemed that they were answering each other. I would hear 2 wood knocks then maybe 10 seconds later  to the west about 200-300 yards I would hear 3 rock clacks. This sequence continued for about 8-10 minutes. The sounds stopped when a boat went past mine. I do believe in Bigfoot  I always have. However this is the first time that anything like this has happened to me. It disturbed me so much that I started up my boat and moved to another part of the lake.,Bigfoot
Report 43758: Hunter recalls his observation of a dark figure crawling on a family farm near Markton,,PA,"When I was fourteen  I am 39 now  I was out rabbit hunting on our farm. It was getting dark so I started walking towards home. I entered the field to head up the hill  just then I saw a very dark figure ""crawling"" on the ground.  It reminded me of an alligator walking due to it wasn't using its rear legs.  Instead it was dragging them behind it while on its hands and stomach. I was unable to tell where it went from there  it had gotten very dark and I stayed put until my dad came looking for me with the tractor. I was too afraid to keep going due to fear. I remember it was hairy like an animal and appeared long in length. I went down the next day and seen where the drag marks were from it dragging its feet and where it seemed to get up and walk into the woods. Large footprints were still in the ground. Not sure anyone would believe me  I never told anyone. I was raised around all animals on the farm  been told what large animals were in the area. Never seen anything like it.",Bigfoot
Report 48013: Memory told of a close daylight encounter behind a home outside Sandy Lake,From the red light in Sandy Lake take 173 north to Mill Street stay on Mill Street it turns into Coal Road go about 1 mile you will cross a small creek in a valley the incident happened near the back of the property.,PA,When I was 12 years old  my mother was cooking my breakfast before school and as she was cooking and looking out the window she said  what in the world is that? I jumped up just in time to see a large brown figure going into the woods toward a stream behind my house. She said it ran from the neighbors down a powerline and was snapping off sumac like they were twigs.  Being young and curious I ran about 75 yds to the spot the animal had entered  there was a small drop off of about 20 feet then a level spot about 10 ft  then another 4 ft drop to the creek bed. When I arrived I observed the bigfoot at about 50 yrds  It must have heard me as it stopped and turned its upper torso and looked at me. The animal was between 6 and 7 ft tall with a dark face  after looking at me it made great strides down the creekbed and was gone around the bend. When my father arrived we went to check the area. There were very large heel prints in the top of the bank where the animal had landed when it leaped off of the top. I hunted those woods for years and there were times that I felt I was being watched  We heard vocalizations one night but my father said it was a bobcat  after hearing bigfoot recordings I believe they are what made the noise.,Bigfoot
Report 49903: Several possible incidents over the years in the Allegheny National Forest,Witness requested location be kept confidential.,PA,These incidents have occurred over a period of approximately 7 years. The occurrences have not been limited to a particular time of year. I have never  nor has any in our group  sighted a creature. Most have experienced hearing knocks  LOUD branch breaks  hearing bi-pedal footsteps emanating from a creature much larger than a human would make  smelled noxious odors  and had that inexplicable feeling of being watched. The place is a cabin which has been in my son-in-law’s family for 4 generations. It is located on the edge of the Allegheny National Forest  off the summit of a mountain. Across the lane from the cabin is a large meadow  belonging to a local doctor. This is sometimes planted in grain crops  other times allowed to remain fallow. There are other cabins scattered along the lane; none within eye-sight of the other. My first trip was in October of 2006. There was no other activity at the other camps. My son-in-law (Eric) and I arrived about 8-8:30 at night in the darkness. Upon exiting the Jeep  I had an immediate feeling of being watched. I have spent a good deal of time in the woods  hunting  fishing  and hiking. I am not easily spooked.  After dinner  cleaning up  and sitting up a bit talking we turned in about midnight. Around 2 A.M. I was awakened by the sound of the old wooden table and chairs being pushed about on the deck. We determined it must be a bear  and went back to sleep. Approximately 2 hours later we heard something rustling about the fire pit. We did NOT cook any food outdoors  we brought in all our empty bottles and such when we came in to discourage bears and other critters. In the morning  we found the table and chairs had been moved about  which a bear or even a large raccoon could have done. However  the fire pit had been scattered about  some of the smoldering logs rolled aside. Another time  we were hunting in the forest behind the cabin. The topography is typical Appalachian mountain; rugged  steep slopes  ravines  small streams and bogs. Here and there are small oil seeps as well. We had just descended into a fairly open area which promised grouse. This was early November  crisp but not cold. We were each carrying shotguns loaded with upland game shells. We were walking approximately 50 yards apart when we stopped  looked at one another and asked “What is that smell?” From out of no-where came the most putrid  overpowering smell. It was not the oil-seeps  which have their own sulfur like smell. This was horrid! It was like a skunk on steroids  with a good measure of open septic tank  and some rotten garbage added for good measure.  We continued on our way  the smell dissipated after about 100 feet.  We tried to tell one another it was a dead deer or something; but we both knew better. I worked in a funeral home while in college; and have never experienced anything that nauseating.   We also had an unnerving feeling of being watched the entire time we were there. Upon relating the above to my daughter  Eric’s wife  she stated she has smelled awful odors for no apparent reason as well and felt like she was being watched several times. We have heard howls  far in the distance  and others within a quarter mile  or so of the cabin. There are coyotes in the area  yet these are much longer in duration  and have more range. Some start low  and rise toward nearly a falsetto pitch. Others have been more monotone yet will waver somewhat. Others will start low  and culminate in a scream. This is not a bob-cat  not a coyote  and all members of our party are accounted for. In March of 2014  a group of us went for Spring Opening. There were 5 of us there. As darkness set in  I decided to venture out to the open meadow to observe the Winter constellations. This is about 100 yards from the cabin. The cabin is situated on the downward slope from the summit  which is the meadow. The area behind and on both sides of the cabin is a fairly steep slope. It is heavily grown with second growth trees  brush  and scrub. There are also a lot of blow-down branches which makes walking even in daylight difficult. At night  it is an invitation for a sprained ankle at best. As I was observing the stars and enjoying the silence  I heard footsteps. Not in the trail  not in the meadow  but coming UP the slope to the south of the cabin. My initial thought was a bear. As I listened  it was apparent the foot falls were from a biped. I called out if it was any of our group and received no reply. Then the steps would start again. I called again  louder  and the steps stopped for a moment.  Then  they began again  finally stopping by the edge of the lane. There were no lights showing  the moon was in the final phase of its final quarter  and just a sliver. I started to return to the cabin. I was about 20 yards from where I heard the steps stop along the edge of the lane. As I drew parallel to that area  I heard shuffling of the underbrush  as if whatever it was had turned it’s entire body sideways to watch me pass. When I entered the cabin  everyone was where I had left them. There were no new leafs  mud or debris in the doorway. When I asked if they heard anything  they all said no  as they were watching Planes  Trains and Automobiles on VHS. Finally  this past Spring  a group of us went up for a weekend. While sitting about the rear deck  enjoying a fire and talking  a member of our party was encouraged to do their howl. They did. Then about 30 seconds later  the sound of a very large tree limb snapping came from down the slope behind the cabin. Could it have been a bear stepping on a branch? Perhaps  but that would be very coincidental to step on a limb just after a howl. I KNOW there is something in those mountains. I can’t prove it physically; it one of those things that you know that you know. Please keep this location undisclosed. We would hate to see a bunch of people go hunting for these creatures. They don’t deserve to be pursued and bothered. I have been needing to share this with someone who won't think I am off my rocker. Thank you.,Bigfoot
Report 6496: Bicycling student has night encounter,Great swamp area  Narragansett Indians,RI,"While attending U.R.I in the Fall of 1974 I would stay at my girlfriends mother's house on weekends because I only had a five day mealbook plan. It was Sunday evening about 10:00pm when I decided to head back to school on my ten speed bike. Very dark in the area because it being mostly wooded  country like setting but yet city. I was going down her street and noticed my front center pull brake needed to be adjusted. I stopped under a street light at the end of her street which is an intersection to adjust the brake. Directly in front of me was a small field that sloped down and away from me pitch black background  tall grass and a few bushes being light by the street light. Typical New England  Oak  Maple and  Pine trees. As I was fixing my brake I began hearing very loud foot steps of a biped  comig from the field on the slope side more like a crushing thud. I could hear the actual compression being placed  like someone dropping a heavy metal ball/rock on the ground.I looked up to see if I could see anything and just said to myself ""its nothing""  and went back to fixing my brake. I noticed it was getting closer and felt very apprehensive  the sound was coming in my direction. All of sudden this dog starts barking like crazy  I can hear the chain snap as it either tries to attack or getaway from something. I said to myself ""its time to go!""  as I started I turned left to head north  into a few pedals. From out of the darkness steps into the street light this white looking gorilla. The legs present themselves then the body as it comes to rest on its knuckles. Twenty maybe twenty five feet away  directly across the street from me perhads six feet tall maybe 400 pounds or more. Massive arms that went straight down on its knuckles  knees slight bent.The head is higher in the back connected to the neck all-in-one mass. The face dark  deep strong  but primate.The eyes are close together and set deep in the face. The nose and mouth are human like  it's nose is wide  around the mouth black hair that went down on each side.It looks up with its head and chest see me  eyeball to eyeball as I look back trying to see if this thing is real. Humanlike in appearance  the face is not like a primate but has a distinct animal presence (the eye are close together). I was never so scared in my life and knew had I stayed I don't think I would of survived the attack.The way it was positioned gave it an explosive start as it decides to chase me down the street. My heart was pounding out of my chest  my eyes had tears in them and with all my might I pedaled as it ran on two legs  then down on its knuckles then back up again. Perhaps for ten yards  I remember how its long hair on its arms moved with each reach I thank god I was in first gear. A good five second chase and it was all over.It had stopped in the middle of the street just swaying back and forth  turned and just cleared this rock wall all in one motion from a grass sidewalk. At the top of hill I began riding in circles  I didn't know what to do  I could not comprehend the situation I was in. I knew one thing I was not riding back. I cut through her grandmother's yards and made it back to her house. Not trying to look crazy or anything they ask me what's wrong ? I told them what happened and agreed  that it was best to go back in the morning.",Bigfoot
